,experiment_name,weight_decay,use_scheduler,test_accuracy,best_val_accuracy,history
train_loss,resnet_transfer,0.0001,True,0.09859154929577464,0.09269356597600872,"[3.705330267690709, 3.6638055588510907, 3.644209131163906, 3.630592853505074, 3.636830674559, 3.631583862650391, 3.6237873219443006, 3.6119553186354763, 3.6072596821352194, 3.598284486270009, 3.5856135164433978, 3.5704714258999224, 3.5633668018381615, 3.5494829837682627, 3.5632876996352, 3.560732697686762, 3.5665433253472556, 3.5390269324187527, 3.552784969254975, 3.5418137142657584, 3.541250374701212, 3.53548918286342, 3.534564452913419, 3.5156423089029225, 3.539234750827738, 3.5225001312010487, 3.519761793423037, 3.5165101926246822, 3.512360442266311, 3.5041492186115106, 3.4926022950424813, 3.514178319989774, 3.523779101188516, 3.507309357065308, 3.4970611622691576, 3.4892068249096044, 3.509654232967644, 3.5031878086551718, 3.502563013241576, 3.5067895685628963, 3.48643215984699, 3.503894712139326, 3.503571405499142, 3.4811249060018667, 3.4837905591240563, 3.5071719878699157, 3.497386057521771, 3.4880974865895458, 3.489047674822138, 3.4841987009950413]"
train_acc,resnet_transfer,0.0001,True,0.09859154929577464,0.09269356597600872,"[0.023712183156173346, 0.027800490596892886, 0.033524121013900246, 0.033251567184518944, 0.035977105478331974, 0.03979285908967021, 0.039247751430907606, 0.04279095121286454, 0.04878713545925321, 0.05124011992368493, 0.04251839738348324, 0.050967566094303626, 0.05614608885254838, 0.056418642681929684, 0.05124011992368493, 0.062414826928318345, 0.05042245843554102, 0.06459525756336877, 0.0585990733169801, 0.06077950395203053, 0.06050695012264923, 0.06023439629326792, 0.05560098119378577, 0.06350504224584355, 0.062142273098937044, 0.07386208776233306, 0.06650313436903789, 0.06295993458708095, 0.06295993458708095, 0.06023439629326792, 0.07631507222676479, 0.06922867266285092, 0.06922867266285092, 0.07576996456800218, 0.0675933496865631, 0.06514036522213137, 0.07031888798037612, 0.06950122649223221, 0.0673207958571818, 0.06677568819841918, 0.068411011174707, 0.06950122649223221, 0.06977378032161352, 0.08040337966748433, 0.07004633415099483, 0.07549741073862087, 0.06432270373398746, 0.07522485690923958, 0.07249931861542655, 0.0771327337149087]"
val_loss,resnet_transfer,0.0001,True,0.09859154929577464,0.09269356597600872,"[3.6346025698317566, 3.6082991144519334, 3.5908958592097657, 3.588173134636333, 3.58147128197723, 3.5746566625301814, 3.5658583503253065, 3.566544003419034, 3.549860386968049, 3.5337685311503604, 3.5300759039372367, 3.5235987471390184, 3.531750400817771, 3.5134372206784645, 3.499649715267585, 3.5134686126313786, 3.5055953827133095, 3.5080292360083227, 3.4910696296421495, 3.4901624547486216, 3.4827918486350757, 3.4783651750766333, 3.483662245967786, 3.4867299611851847, 3.4883437005878144, 3.4728971640442294, 3.486260699081837, 3.464847774516015, 3.4563341905142515, 3.44556998530547, 3.458322533084366, 3.4377656388568774, 3.4638586852906705, 3.4358301609917064, 3.444891245310543, 3.4561525724966367, 3.4516562268934177, 3.446361337389265, 3.45537547820787, 3.448062127133102, 3.450801551927007, 3.44536045723419, 3.435896044079064, 3.4305085049070736, 3.420730032603639, 3.4364243944702646, 3.429631537413519, 3.4280341118736644, 3.427875649058052, 3.415252118750253]"
val_acc,resnet_transfer,0.0001,True,0.09859154929577464,0.09269356597600872,"[0.0267175572519084, 0.03053435114503817, 0.04743729552889858, 0.03871319520174482, 0.04689203925845147, 0.0534351145038168, 0.03980370774263904, 0.04362050163576881, 0.0648854961832061, 0.064340239912759, 0.0534351145038168, 0.06161395856052345, 0.05943293347873501, 0.06597600872410032, 0.07197382769901854, 0.06706652126499454, 0.05997818974918212, 0.06706652126499454, 0.07142857142857144, 0.06106870229007634, 0.06924754634678298, 0.06324972737186478, 0.07142857142857144, 0.07251908396946566, 0.06924754634678298, 0.0801526717557252, 0.0588876772082879, 0.06815703380588876, 0.08833151581243184, 0.07960741548527808, 0.07415485278080698, 0.0747001090512541, 0.06924754634678298, 0.09269356597600872, 0.07851690294438386, 0.06652126499454744, 0.07306434023991276, 0.0747001090512541, 0.06324972737186478, 0.07360959651035988, 0.0747001090512541, 0.06270447110141766, 0.0747001090512541, 0.07415485278080698, 0.09051254089422028, 0.08505997818974918, 0.07851690294438386, 0.08887677208287896, 0.0916030534351145, 0.08942202835332606]"
