,experiment_name,test_accuracy,best_val_accuracy,history
train_loss,resnet_transfer_2b,0.8943662047386169,0.894220232963562,"[3.1606636693283336, 2.3069594122142485, 1.945088246499657, 1.8279793572770247, 1.7418346684126544, 1.707454905681501, 1.6917757795954569, 1.6944918684817751, 1.6579158564099956, 1.6575657616976855, 1.6535844633903514, 1.629757361244395, 1.6142339666132122, 1.600532962275838, 1.5849430073376538, 1.5948284663306689, 1.6014302858834566, 1.5410047650304728, 1.5611525288262398, 1.5751740207591542, 1.5374873507474482, 1.530394059853386, 1.5482346387739954, 1.5090682691759685, 1.5105231324214317, 1.5352179743217558, 1.5124584718113148, 1.5188824807502619, 1.5063301094483537, 1.5178559441175277]"
train_acc,resnet_transfer_2b,0.8943662047386169,0.894220232963562,"[0.2090487778186798, 0.5126737356185913, 0.626873791217804, 0.6544017195701599, 0.6783864498138428, 0.6871081590652466, 0.6939220428466797, 0.6963750123977661, 0.7097301483154297, 0.7070046067237854, 0.6952847838401794, 0.7113654613494873, 0.7146361470222473, 0.7170891165733337, 0.7192695140838623, 0.7138184309005737, 0.7100027203559875, 0.747342586517334, 0.7364404201507568, 0.7298991084098816, 0.7437993884086609, 0.7459797859191895, 0.7339874505996704, 0.755246639251709, 0.7533387541770935, 0.7304442524909973, 0.7544289827346802, 0.7457072734832764, 0.7492504715919495, 0.7476151585578918]"
val_loss,resnet_transfer_2b,0.8943662047386169,0.894220232963562,"[2.230567001074455, 1.6323829471999973, 1.4160255468008693, 1.3304551377031248, 1.2870852882235495, 1.2600505544419116, 1.2368602553786732, 1.227524666905793, 1.2275147193650773, 1.2265111659059347, 1.2111346243252021, 1.2037518154443805, 1.1968859001230387, 1.1970590749509722, 1.1797019184740705, 1.1887464928913012, 1.179377684546401, 1.1717429280671066, 1.175796366049913, 1.1635369131323297, 1.1588977471302744, 1.1647926134787574, 1.1624958702366122, 1.159862778048999, 1.1586102036639414, 1.1592592700357136, 1.1571245783677928, 1.1588730724973273, 1.160413361947695, 1.1583027231264271]"
val_acc,resnet_transfer_2b,0.8943662047386169,0.894220232963562,"[0.614503800868988, 0.7709923386573792, 0.8386040925979614, 0.8331515192985535, 0.8500545024871826, 0.8625953793525696, 0.8718647360801697, 0.8745909929275513, 0.8751362562179565, 0.8735005259513855, 0.872409999370575, 0.8691384792327881, 0.8729552626609802, 0.872409999370575, 0.879498302936554, 0.866957426071167, 0.8751362562179565, 0.8811340928077698, 0.8735005259513855, 0.887131929397583, 0.888767659664154, 0.8865866661071777, 0.8827698826789856, 0.894220232963562, 0.8844056129455566, 0.888767659664154, 0.8909487128257751, 0.8909487128257751, 0.887131929397583, 0.8893129229545593]"
