,experiment_name,lr,weight_decay,use_scheduler,model,test_accuracy,best_val_accuracy,history
train_loss,mobilenetv1_medium,0.001,0.0001,True,"*",0.6982665222101841,0.6941112322791713,"[3.642112368099954, 3.598343624279784, 3.5851177343330582, 3.5534229610621946, 3.4769912529589533, 3.432390730203611, 3.343947080280515, 3.318672478572651, 3.247734668177524, 3.1932308024039675, 3.1645752081399263, 3.0888809032939246, 3.0301900684557355, 2.9960312843322754, 2.93015019761733, 2.9065846130353417, 2.868246043271023, 2.8546842238856907, 2.776111553072052, 2.7365086501675946, 2.7318804130855714, 2.6172277510864723, 2.5916757788960956, 2.596956514798838, 2.4976163211977425, 2.4977319816959493, 2.453001635897936, 2.382281603752088, 2.3723880381050018, 2.274497197154563, 2.274693742829014, 2.199522188945114, 2.187004004684057, 2.1750132235690534, 2.104277319205038, 2.043304243929934, 2.0890993698314544, 1.9992966411483486, 1.9480675070316338, 1.9092294614884924, 1.9145407720559557, 1.880721199899124, 1.8276863184570453, 1.7860982691634089, 1.7879502074079703, 1.7406374284635613, 1.7178794806774906, 1.6935171657311685, 1.6296593192878488, 1.6614613063525816, 1.662111673604633, 1.5930862582064547, 1.595758966413172, 1.553216762781858, 1.5035049146902792, 1.4745793567102785, 1.4689877935507278, 1.4518841171693528, 1.4122783977870363, 1.4539668514865658, 1.374944383814082, 1.3815369879266943, 1.376167215031218, 1.3473282739881536, 1.3524762444029585, 1.3275665806047465, 1.3549677332079875, 1.3046321498174764, 1.2569138524837082, 1.3355502792131222, 1.2560436893269749, 1.279469342444891, 1.2415043857384196, 1.2474312297197738, 1.226819214134653, 1.2080906794941304, 1.2018030366900183, 1.2169014791533874, 1.1466283448615169, 1.126507087278899, 1.1919786579181986, 1.1562583527730057, 1.1484316198856377, 1.1509176616156644, 1.102369356038428, 1.0884811262175964, 1.1006942190763962, 1.093081295766438, 1.0181326731962286, 1.039775549683138, 1.034419870548789, 1.0958742306192812, 1.0388773672747722, 1.0451005441221692, 1.062928964231345, 1.061670166005488, 1.0602536205700874, 1.0577710884798122, 1.0092284141687646, 1.0186138770404192, 1.0420941983558527, 1.0335023705333544, 0.9879147384887367, 1.0165246901183338, 0.9630174751533868, 1.0166341815601743, 0.9993543118668954, 0.9905597577468028, 0.9458387099647106, 0.9500031153166056, 0.9719251546167034, 0.9226837511867098, 0.9843346638197339, 0.9715376939329083, 0.93390488153454, 0.9621805418866569, 0.9194216720412621, 0.9460387790713203, 0.9332735170197767, 0.9103024471972547, 0.901097895469416, 0.9347226635641024, 0.9003461522183973, 0.8901097300462678, 0.9029271887576232, 0.8824233399258871, 0.8863532653976507, 0.9029426236801168, 0.8949311127062226, 0.8799912558325828, 0.905416863657987, 0.8585877917091669, 0.8977582449807754, 0.838248076004175, 0.8695163114514719, 0.8936626093853524, 0.8201954723151772, 0.8111237680012019, 0.8582486945980412, 0.8402484589910988, 0.8591677964497211, 0.8528141940962427, 0.83540170155029, 0.8504037740900524, 0.7915862678474287, 0.7865705976989166, 0.8537735130001265, 0.8494146208601967, 0.7780431149505601, 0.7900081768319209, 0.8071183661051231, 0.8112631516191477, 0.7843627998080946, 0.7955253753261821, 0.8083765983711507, 0.7795295233491267, 0.793310687307377, 0.8029476783521886, 0.7903049521434531, 0.7383878772347784, 0.7811839561691138, 0.7876731285967012, 0.7816329841784022, 0.7757369525330565, 0.7760602313447434, 0.7950353241967518, 0.8100012993253717, 0.7817745445274339, 0.7779398436571019, 0.832371023653898, 0.8019373578868012, 0.7935078809488109, 0.7823893035520615, 0.7683798545353677, 0.7360887436166256, 0.7846390424485621, 0.7906164802787544, 0.7888156348627703, 0.749607171502871, 0.7464462387753494]"
train_acc,mobilenetv1_medium,0.001,0.0001,True,"*",0.6982665222101841,0.6941112322791713,"[0.02425729081493595, 0.03652221313709458, 0.03761242845461979, 0.05233033524121014, 0.07304442627418915, 0.07467974925047698, 0.09757427091850641, 0.10166257835922594, 0.11747070046334152, 0.1346415917143636, 0.13927500681384575, 0.15917143635868083, 0.1736167893158899, 0.17061869719269557, 0.18669937312619242, 0.2041428182065958, 0.2134096484055601, 0.21559007904061053, 0.223221586263287, 0.2436631234668847, 0.24066503134369038, 0.2627418915235759, 0.27718724448078497, 0.27582447533387844, 0.2998092123194331, 0.2984464431725266, 0.30716816571272826, 0.330335241210139, 0.3281548105750886, 0.3605887162714636, 0.3554101935132189, 0.3859362224039248, 0.38184791496320525, 0.39547560643227037, 0.4080130825838103, 0.41073862087762336, 0.4150994821477242, 0.42736440446988283, 0.45434723357863177, 0.44944126464976836, 0.46443172526574, 0.46143363314254565, 0.4802398473698556, 0.4873262469337694, 0.4780594167348051, 0.5069501226492232, 0.514854183701281, 0.5162169528481876, 0.5412919051512673, 0.5295720904878713, 0.52929953665849, 0.5551921504497138, 0.5481057508857999, 0.5524666121559008, 0.5761787953120742, 0.5734532570182611, 0.5870809484873263, 0.5876260561460889, 0.5838103025347506, 0.5933496865630963, 0.6127010084491687, 0.6086127010084492, 0.6241482692831835, 0.6222403924775143, 0.6214227309893704, 0.6260561460888525, 0.6105205778141183, 0.6295993458708095, 0.6451349141455438, 0.6266012537476152, 0.639956391387299, 0.642681929681112, 0.646225129463069, 0.6459525756336877, 0.6598528209321342, 0.6546742981738893, 0.6587626056146089, 0.6584900517852276, 0.6751158353774871, 0.6819296811120197, 0.6647587898609976, 0.6672117743254293, 0.6740256200599619, 0.6718451894249114, 0.6887435268465523, 0.6947397110929409, 0.6914690651403652, 0.6914690651403652, 0.7091850640501499, 0.702098664486236, 0.7100027255382938, 0.6865630962115018, 0.7075497410738621, 0.705641864268193, 0.7029163259743799, 0.7004633415099483, 0.702098664486236, 0.6999182338511857, 0.7105478331970564, 0.7189970019078769, 0.7042790951212865, 0.7023712183156173, 0.7179067865903516, 0.7189970019078769, 0.7206323248841646, 0.7045516489506678, 0.7168165712728264, 0.7290814935949851, 0.7364404469882803, 0.735350231670755, 0.7315344780594167, 0.7339874625238485, 0.7249931861542654, 0.7249931861542654, 0.7361678931588989, 0.7301717089125103, 0.7361678931588989, 0.7397110929408558, 0.7408013082583811, 0.7394385391114745, 0.7440719542109567, 0.729899155083129, 0.7476151539929137, 0.7440719542109567, 0.7437994003815754, 0.7487053693104389, 0.7511583537748706, 0.7465249386753884, 0.7473426001635324, 0.7487053693104389, 0.741618969746525, 0.7694194603434179, 0.743526846552194, 0.7634232760970292, 0.7503406922867266, 0.7522485690923958, 0.7705096756609431, 0.7642409375851731, 0.7593349686563097, 0.765058599073317, 0.7579721995094031, 0.7544289997274461, 0.7696920141727992, 0.7585173071681658, 0.7705096756609431, 0.7740528754429, 0.7571545380212592, 0.7557917688743527, 0.7841373671300083, 0.7789588443717634, 0.7710547833197057, 0.7726901062959934, 0.7770509675660944, 0.7718724448078496, 0.7754156445898065, 0.7748705369310439, 0.7756881984191878, 0.7724175524666121, 0.7726901062959934, 0.7882256745707278, 0.779503952030526, 0.7803216135186699, 0.7781411828836196, 0.7751430907604252, 0.7767784137367131, 0.7770509675660944, 0.7686017988552739, 0.7762333060779504, 0.7800490596892886, 0.7566094303624966, 0.7770509675660944, 0.7740528754429, 0.7841373671300083, 0.7803216135186699, 0.7833197056418643, 0.7819569364949578, 0.7737803216135187, 0.7765058599073317, 0.7833197056418643, 0.785772690106296]"
val_loss,mobilenetv1_medium,0.001,0.0001,True,"*",0.6982665222101841,0.6941112322791713,"[3.6196628344877984, 3.5878914915748354, 3.5470844316118546, 3.4633469061607105, 3.8611347103326894, 3.3134571686955807, 3.282277599675835, 3.2367217083143696, 3.1734402593115556, 3.330237251331658, 3.023206922454168, 2.976015286721216, 2.998440909931678, 3.1359676784361463, 3.1060018859226806, 2.8473779492185836, 2.8895102506635495, 2.8731129351463025, 3.0571360424274707, 2.722125221104762, 2.7460791971067304, 2.7791896404590837, 2.614044938508661, 2.6940306608393514, 2.6796163657239376, 2.5531303482201264, 2.403855451580742, 2.4566990803996247, 2.3116074983790242, 2.5665015238321987, 2.2695355638942907, 2.101541616144461, 2.185195153256149, 2.1583739097921772, 2.230622560663338, 2.2759295627881033, 1.9354537075452483, 2.2063756610471006, 2.004698045381153, 1.988493090757497, 1.9570898232309222, 1.7993731132120447, 1.815815574860235, 1.8937645834040875, 1.8735089523061672, 1.8564537221498811, 1.8045198246592913, 1.8179153388563134, 1.7368651148147125, 1.9876409224361473, 1.7954719329218307, 1.6995183848242723, 1.67476952452956, 1.773337852213869, 1.6545428974937846, 1.7255959427603718, 1.5472110392873133, 1.577896215403483, 1.5279272023828105, 1.5222927211675155, 1.5932508870845532, 1.6993099705863546, 1.6423135944190177, 1.8433165814130361, 1.551936576774622, 1.5999574281657145, 1.584746045790686, 1.4977331088049461, 1.4473407563622411, 1.4587979558509985, 1.6728026032317815, 1.499371689564529, 1.537247047494516, 1.6769404260516816, 1.4858167053178977, 1.479938278086443, 1.4198255293241895, 1.5072644269063402, 1.4133093868633133, 1.4791270474961176, 1.5472263445185992, 1.3528126203246829, 1.4788484898362322, 1.4258585258294607, 1.509059539928041, 1.3642145553877985, 1.4026892030512104, 1.318865340759606, 1.3099074494357716, 1.5390358444388585, 1.3457412842900829, 1.5252625541832612, 1.3290702714914844, 1.3539959572523734, 1.5151199808297526, 1.445577511870614, 1.3867318004272235, 1.4158421270589923, 1.3693479750642599, 1.3868419349258572, 1.5213233932868995, 1.3860098073500713, 1.400095945421196, 1.3508472167028596, 1.483346358185376, 1.4436038445880395, 1.3678355277429621, 1.3605123457367834, 1.333688912630861, 1.3014923577220254, 1.4707222308561352, 1.3359529413079747, 1.373292433981547, 1.3653635890299258, 1.3322227274188558, 1.4170178388171264, 1.3194429909519956, 1.3524271121071885, 1.3406248462499164, 1.28204689343077, 1.2928139010003505, 1.4312159565958877, 1.3053110330289426, 1.2724374522624644, 1.285485596732199, 1.2905977972851195, 1.3896853506175095, 1.3215837995709614, 1.2611040140836294, 1.3295385538556714, 1.3270464310729257, 1.2505738980247514, 1.2339999173953724, 1.4165985800057748, 1.273797673188483, 1.290085004876198, 1.3834062819262498, 1.2496378777981325, 1.260160487311747, 1.2758729907002548, 1.2227497388778361, 1.3847937221225501, 1.2337034505872195, 1.2554754148782794, 1.2213579238501084, 1.317941185107278, 1.3163099218740848, 1.3068924967764248, 1.3191652515072338, 1.2760750639659628, 1.276093753889577, 1.211325863975475, 1.4274170138713709, 1.2368141466034668, 1.1985672772125693, 1.2793561679716328, 1.2558178489574818, 1.2333257626681187, 1.2963893867890994, 1.2462866810376927, 1.3186172042184203, 1.3095645743991973, 1.2268142979368648, 1.1708012777690409, 1.1562028680008916, 1.260025502876211, 1.3027234982898217, 1.2446372902900338, 1.216170538017768, 1.2031271237973429, 1.3387737456168838, 1.2195628003959698, 1.2383715173670353, 1.2722598978581319, 1.2034086632494578, 1.2393235712755988, 1.2607948802809679, 1.1907577991745595, 1.1502089369128028, 1.2387653591198646]"
val_acc,mobilenetv1_medium,0.001,0.0001,True,"*",0.6982665222101841,0.6941112322791713,"[0.02726281352235551, 0.03707742639040349, 0.04689203925845147, 0.06652126499454744, 0.05997818974918212, 0.09487459105779716, 0.11068702290076336, 0.123773173391494, 0.123773173391494, 0.128680479825518, 0.1499454743729553, 0.17993456924754636, 0.1663031624863686, 0.1608505997818975, 0.19792802617230099, 0.18429661941112324, 0.19193020719738277, 0.21592148309705564, 0.18811341330425302, 0.23118865866957472, 0.24318429661941113, 0.24863685932388224, 0.25408942202835333, 0.24318429661941113, 0.24918211559432935, 0.29007633587786263, 0.302071973827699, 0.3042529989094875, 0.3320610687022901, 0.2955288985823337, 0.3593238822246456, 0.3816793893129771, 0.35768811341330425, 0.3631406761177754, 0.35768811341330425, 0.3685932388222465, 0.4334787350054526, 0.3751363140676118, 0.4122137404580153, 0.430752453653217, 0.41875681570338064, 0.44765539803707743, 0.46946564885496184, 0.44874591057797164, 0.4612868047982552, 0.4514721919302072, 0.4760087241003272, 0.46510359869138496, 0.4890948745910578, 0.44383860414394766, 0.47928026172300986, 0.5103598691384951, 0.5158124318429662, 0.4918211559432934, 0.5218102508178845, 0.509814612868048, 0.5436205016357688, 0.5610687022900763, 0.5365321701199564, 0.5288985823336969, 0.5179934569247546, 0.5272628135223555, 0.5381679389312978, 0.495092693565976, 0.5654307524536533, 0.5507088331515813, 0.549618320610687, 0.5687022900763359, 0.5714285714285715, 0.5752453653217012, 0.5359869138495092, 0.5648854961832062, 0.5665212649945475, 0.5436205016357688, 0.583969465648855, 0.5779716466739367, 0.5905125408942203, 0.5665212649945475, 0.5916030534351145, 0.5861504907306434, 0.5659760087241004, 0.5932388222464559, 0.5970556161395857, 0.5997818974918212, 0.5801526717557253, 0.6057797164667394, 0.6019629225736096, 0.6123227917121047, 0.6243184296619412, 0.5823336968375137, 0.6205016357688113, 0.5910577971646674, 0.6177753544165758, 0.6090512540894221, 0.588876772082879, 0.6155943293347874, 0.6177753544165758, 0.6128680479825518, 0.6172300981461287, 0.6172300981461287, 0.6063249727371866, 0.6243184296619412, 0.6264994547437296, 0.6248636859323883, 0.6172300981461287, 0.6128680479825518, 0.6330425299890949, 0.6357688113413305, 0.6330425299890949, 0.6357688113413305, 0.6199563794983642, 0.6319520174482007, 0.6308615049073064, 0.6352235550708834, 0.6237731733914941, 0.6259541984732825, 0.638495092693566, 0.6515812431842967, 0.633587786259542, 0.6346782988004362, 0.6444929116684842, 0.6314067611777536, 0.6237731733914941, 0.6477644492911668, 0.6423118865866958, 0.6504907306434025, 0.6357688113413305, 0.64340239912759, 0.6406761177753545, 0.6521264994547438, 0.6586695747001091, 0.6564885496183206, 0.6624863685932388, 0.6161395856052345, 0.6521264994547438, 0.6352235550708834, 0.6363140676117776, 0.6564885496183206, 0.66793893129771, 0.6553980370774264, 0.6564885496183206, 0.6379498364231189, 0.6548527808069793, 0.6592148309705562, 0.6739367502726281, 0.6466739367502726, 0.638495092693566, 0.6521264994547438, 0.6608505997818975, 0.6613958560523446, 0.6624863685932388, 0.6619411123227917, 0.6303162486368593, 0.6766630316248637, 0.677753544165758, 0.6739367502726281, 0.66793893129771, 0.6772082878953108, 0.6559432933478735, 0.663576881134133, 0.6712104689203926, 0.6684841875681571, 0.6673936750272629, 0.6832061068702291, 0.6755725190839695, 0.6717557251908397, 0.66793893129771, 0.6744820065430753, 0.6793893129770993, 0.6826608505997819, 0.6466739367502726, 0.6728462377317339, 0.6646673936750273, 0.6608505997818975, 0.6761177753544166, 0.6859323882224646, 0.6663031624863687, 0.6875681570338059, 0.6941112322791713, 0.6690294438386042]"
