,epoch,train_loss,val_loss,val_accuracy,experiment_name,batch_size,dropout,base_learning_rate,warmup_iter,main_sched_epochs_kick_in,n_epochs,weight_decay,transform_stack_name,experiment_type,elapsed_time_sec,test_accuracy,test_precision,test_recall,test_f1
0,0,3.764396885345722,3.635632876692147,3.76226826608506,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
1,1,3.591198386817143,3.3863562468824715,9.214830970556163,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
2,2,3.3606433375128386,3.06171728824747,22.137404580152673,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
3,3,3.0882089836844084,2.680637787128317,39.967284623773175,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
4,4,2.7473033584397415,2.2908403380163787,53.16248636859324,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
5,5,2.4272371818279397,1.894785342545345,64.66739367502726,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
6,6,2.156657775928234,1.5963527498574093,70.39258451472192,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
7,7,1.8909613839511215,1.3429847626850522,75.7360959651036,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
8,8,1.6739483742878354,1.1479376718915741,78.40785169029444,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
9,9,1.5294316123271812,0.9906341145778524,79.77099236641222,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
10,10,1.4022722963629097,0.8937626768802774,80.1526717557252,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
11,11,1.2939946569245437,0.7903925920354908,82.6608505997819,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
12,12,1.2071017622947693,0.7278803360873255,83.31515812431843,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
13,13,1.1578148644545982,0.6836333408437926,83.91494002181025,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
14,14,1.0751402028675736,0.6353544099577542,84.6237731733915,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
15,15,1.0502601368673916,0.596316823671604,85.05997818974919,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
16,16,1.0018213607113937,0.5736250322440575,85.27808069792803,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
17,17,0.9651501137634804,0.5509470033234564,84.40567066521265,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
18,18,0.934919536113739,0.535853020076094,85.1145038167939,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
19,19,0.9135817957335505,0.5145472956114802,85.38713195201744,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
20,20,0.9053111209951598,0.5105701078628672,85.87786259541986,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
21,21,0.8892137737109743,0.5039153818426461,85.60523446019629,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
22,22,0.8646823568590756,0.5020130040316746,85.27808069792803,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
23,23,0.8387310792659891,0.4768467463296035,85.71428571428571,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
24,24,0.7970700222870399,0.46354748154508657,86.53217011995638,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
25,25,0.8274074659265321,0.46620216760142097,86.75027262813522,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
26,26,0.7687809272059078,0.4764331507271734,85.1145038167939,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
27,27,0.7861492859906164,0.45720190940232114,85.87786259541986,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
28,28,0.7921295207122276,0.44919513936700495,85.93238822246457,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
29,29,0.7642251417554659,0.4559066552540352,85.49618320610686,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
30,30,0.783657889941643,0.44727969991749733,86.31406761177753,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
31,31,0.7632406559483759,0.4360311123831519,86.04143947655399,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
32,32,0.7613572904775883,0.4370941201160694,86.58669574700109,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
33,33,0.7339534112091722,0.44458342523410405,85.82333696837514,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
34,34,0.7666313874310461,0.43761205056618,86.09596510359869,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
35,35,0.7144163924044576,0.44922227900603723,85.49618320610686,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
36,36,0.7468344188969711,0.4430290100903347,84.84187568157033,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
37,37,0.7297828536609123,0.43419915334931736,86.1504907306434,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
38,38,0.7251983274673593,0.4256257938927618,86.53217011995638,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
39,39,0.721251393186635,0.4423624677904721,86.04143947655399,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
40,40,0.6993757229426811,0.43424990259367846,86.42311886586695,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
41,41,0.7274457200847823,0.4217966019079603,86.20501635768811,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
42,42,0.7012661798246975,0.41417149685580157,86.75027262813522,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
43,43,0.7191455405333946,0.4246789874701664,86.47764449291166,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
44,44,0.6863067741024083,0.4146577587415432,86.96837513631407,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
45,45,0.6861509254266476,0.4112936458710966,87.18647764449291,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
46,46,0.6887505640243662,0.42014250467563496,86.53217011995638,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
47,47,0.6931740790605545,0.41470382285529167,86.91384950926935,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
48,48,0.732878373614673,0.4117757338902046,86.91384950926935,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
49,49,0.6518160443881462,0.4181677282884203,86.85932388222464,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
50,50,0.7364918877338541,0.4126584242130148,87.02290076335878,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
51,51,0.6875167925809992,0.4122762217603881,87.07742639040349,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
52,52,0.6885568473873467,0.41413414170002116,86.85932388222464,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
53,53,0.7046307947101265,0.41341385296706495,86.85932388222464,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
54,54,0.6969086738495991,0.4163068723061989,86.96837513631407,same_as_densenet,64,0.2,0.001,1500,30,90,0.001,default,resnet18,528.2385866641998,0.8743228602383532,0.878023087978363,0.8743228316307068,0.8743988275527954
