,experiment_name,lr,weight_decay,use_scheduler,model,test_accuracy,best_val_accuracy,history
train_loss,mobilenetv1_large,0.001,0.0001,True,"*",0.7345612134344528,0.7230098146128681,"[3.638350237159906, 3.6014975646303085, 3.597984516448434, 3.577443583910327, 3.5364001361964412, 3.4765285405907327, 3.4010306121413407, 3.392359678801804, 3.3589624669123617, 3.294223413963869, 3.279424307748582, 3.2254041952864614, 3.1672990248033677, 3.148217596647752, 3.1190283200369766, 3.07606129101753, 3.0408091573697016, 3.0456434935047048, 2.9677031288422495, 2.902525231441187, 2.9153274305187153, 2.8310204020115752, 2.7930518794560113, 2.7980759583756787, 2.7154889008627823, 2.7031788217108397, 2.673159800163242, 2.5825091986085646, 2.6025332940570274, 2.5121076165508853, 2.5260894785267873, 2.4293288769985812, 2.448094980760243, 2.378730915651298, 2.353665981542255, 2.2970248358423166, 2.3023104396689065, 2.2422155179195036, 2.2051069182185135, 2.151192559244588, 2.1725750817496174, 2.117344914810896, 2.1073226333151855, 2.0455235747428056, 2.0278416892493834, 1.9772903594310487, 1.9729771798623295, 1.9316221067514885, 1.8894037966443589, 1.8906454275141102, 1.8710054835625973, 1.8090218227934403, 1.806510814368871, 1.762212335072411, 1.7147228644049501, 1.7017710513657918, 1.7076680364580172, 1.669500127836806, 1.619335842152063, 1.6422106497097353, 1.6011151866192843, 1.583947464892766, 1.5756508097657718, 1.54148423622986, 1.5393722469977573, 1.508126021536211, 1.5367588809414434, 1.5015889689200383, 1.4498502395886692, 1.5173604101405607, 1.4669991413882202, 1.4667348657326271, 1.4233824913038418, 1.4022019563822046, 1.3730956146391513, 1.3790582046095505, 1.382484990525681, 1.3801833295991097, 1.3265338559409323, 1.3027426915455982, 1.3132770172936872, 1.2876881456206168, 1.280045713771426, 1.2837218752866482, 1.2420847088415312, 1.2568779056356205, 1.250610323295375, 1.2219873516330215, 1.1766426383912905, 1.1737578920461593, 1.1946835213768023, 1.2374191720533123, 1.1791911323052982, 1.1902678339057022, 1.202815977615373, 1.1723277987625462, 1.1955278123162625, 1.1597939512651017, 1.1317042217296227, 1.121204416574461, 1.14299329787972, 1.1265934773965245, 1.0666189692786552, 1.114769219117517, 1.0538582717017473, 1.1197007282061615, 1.069028351637673, 1.0967246081855713, 1.068171541415953, 1.0734968096724515, 1.1003049054825524, 1.0102877369301297, 1.0795759128659972, 1.0873322463483959, 1.0385632632570847, 1.0337348668898247, 1.01023400086543, 1.0570516846881117, 1.0257795875291469, 1.0017928013232333, 0.9975606579974224, 1.019624700498178, 1.0092841878383092, 0.9950162335422066, 1.0095928187070085, 0.9694430383618309, 0.9654236018219057, 0.9924199138619524, 1.0120560002281478, 0.9916040935058885, 0.9992755922123598, 0.957150671228007, 0.9876596118943117, 0.9540006221884049, 0.9522380296168323, 0.96198064725644, 0.8987105590311374, 0.8863641029159326, 0.9222513995140702, 0.9243212051793189, 0.9398022665578489, 0.9132590337747057, 0.930915933956272, 0.9373152894784008, 0.9077888627440899, 0.8589206002622185, 0.9099780665687723, 0.9298391161513413, 0.8788908586803591, 0.880263386174943, 0.9027453916831184, 0.8817861768977783, 0.8528574824365682, 0.8993824019877844, 0.8876181589091756, 0.8895652476433156, 0.8693087002210182, 0.8431334938720969, 0.8718239091728649, 0.8182875227947656, 0.8491992294934569, 0.8440777412972356, 0.8415975692844677, 0.8476367141837221, 0.8438415355304179, 0.8513819717457652, 0.8747615978613184, 0.8315466215611154, 0.8380133912523685, 0.8750050777179014, 0.802021329053321, 0.7548358751987365, 0.7415932209136279, 0.7055397652643972, 0.6778716787586228, 0.7392369473165697, 0.7292484274089872, 0.721935317411706, 0.697970673673385, 0.6608869892500115]"
train_acc,mobilenetv1_large,0.001,0.0001,True,"*",0.7345612134344528,0.7230098146128681,"[0.02616516762060507, 0.038430089942763694, 0.03706732079585719, 0.041428182065958025, 0.05178522758244754, 0.062142273098937044, 0.08449168710820387, 0.08694467157263559, 0.09403107113654947, 0.10466067048242028, 0.11774325429272281, 0.13028073044426275, 0.14336331425456528, 0.14336331425456528, 0.145816298718997, 0.15889888252929954, 0.16734805124011992, 0.1643499591169256, 0.17661488143908421, 0.2041428182065958, 0.19433088034886892, 0.21886072499318615, 0.2243118015808122, 0.22676478604524394, 0.24829653856636685, 0.24666121559007906, 0.2523848460070864, 0.2706459525756337, 0.27473426001635326, 0.2984464431725266, 0.28890705914418097, 0.318615426546743, 0.3098937040065413, 0.3376941946034342, 0.3278822567457073, 0.3472335786317798, 0.3586808394657945, 0.3714908694467157, 0.3763968383755792, 0.38457345325701825, 0.39165985282093213, 0.40174434450804036, 0.40419732897247207, 0.4276369582992641, 0.4186426819296811, 0.44071954210956665, 0.4442627418915236, 0.4510765876260562, 0.4638866176069774, 0.4750613246116108, 0.473426001635323, 0.4925047696920142, 0.48787135459253206, 0.49495775415644594, 0.5156718451894249, 0.5061324611610794, 0.5241210139002453, 0.5151267375306623, 0.5363859362224039, 0.5336603979285909, 0.550831289179613, 0.5568274734260017, 0.5639138729899156, 0.5650040883074408, 0.5609157808667212, 0.5729081493594985, 0.5660943036249659, 0.574270918506405, 0.589533932951758, 0.580539656582175, 0.5813573180703189, 0.5851730716816571, 0.5936222403924776, 0.60670482420278, 0.6099754701553557, 0.6001635322976288, 0.6061597165440175, 0.6132461161079313, 0.6214227309893704, 0.6334150994821477, 0.6323248841646225, 0.6350504224584356, 0.648950667756882, 0.6402289452166803, 0.6429544835104933, 0.6475878986099755, 0.648133006268738, 0.654401744344508, 0.6655764513491415, 0.6639411283728537, 0.6663941128372853, 0.6535840828563642, 0.6625783592259471, 0.6631234668847098, 0.6573998364677024, 0.6762060506950123, 0.6639411283728537, 0.6702098664486237, 0.6748432815481058, 0.6920141727991278, 0.672390297083674, 0.6778413736713002, 0.695829926410466, 0.6860179885527392, 0.7075497410738621, 0.678659035159444, 0.699373126192423, 0.693922049604797, 0.6988280185336604, 0.7050967566094304, 0.6933769419460344, 0.7094576178795312, 0.6909239574816026, 0.6936494957754157, 0.7053693104388117, 0.7127282638321069, 0.7189970019078769, 0.7089125102207686, 0.7031888798037612, 0.7151812482965386, 0.714636140637776, 0.7154538021259199, 0.7176342327609703, 0.7209048787135459, 0.7091850640501499, 0.7230853093485964, 0.7260834014717907, 0.7239029708367403, 0.7124557100027256, 0.7206323248841646, 0.7135459253202507, 0.7293540474243664, 0.7211774325429272, 0.7266285091305533, 0.7388934314527119, 0.7222676478604525, 0.7408013082583811, 0.753338784409921, 0.7437994003815754, 0.7399836467702372, 0.7323521395475606, 0.741618969746525, 0.731807031888798, 0.7372581084764241, 0.7427091850640501, 0.765876260561461, 0.7484328154810576, 0.7448896156991006, 0.7555192150449714, 0.7587898609975471, 0.7481602616516763, 0.7544289997274461, 0.7574270918506405, 0.7421640774052876, 0.7476151539929137, 0.7459798310166258, 0.7525211229217771, 0.7653311529026983, 0.7536113382393023, 0.7688743526846552, 0.7626056146088853, 0.7636958299264105, 0.7527936767511584, 0.7601526301444536, 0.762333060779504, 0.7547015535568276, 0.7484328154810576, 0.7628781684382666, 0.7628781684382666, 0.7500681384573453, 0.7781411828836196, 0.7917688743526847, 0.7884982284001091, 0.809212319433088, 0.8078495502861816, 0.7852275824475334, 0.7944944126464977, 0.8007631507222677, 0.8043063505042246, 0.8152085036794767]"
val_loss,mobilenetv1_large,0.001,0.0001,True,"*",0.7345612134344528,0.7230098146128681,"[3.6223502281317925, 3.6067148440536783, 3.553461438046937, 3.5226492821975257, 3.888166326212909, 3.4825541273718184, 3.361571085752032, 3.260953362401465, 3.2850085745200985, 3.2111370480307575, 3.1716438696974625, 3.1266990173344005, 3.1425513867593513, 3.0994844283246423, 3.271665814398679, 2.955650228190448, 2.9227854368340878, 2.9905177743510305, 2.984129968880307, 2.8354488518921865, 2.7662673053720654, 3.06246517424755, 2.732695134411461, 2.7805845766057105, 2.8375283883988143, 2.631026715202706, 2.5844425629893464, 2.6249018992046493, 2.459905779348725, 2.606317220883385, 2.4231857330484505, 2.3364804438442284, 2.3377344829305566, 2.2971555216881807, 2.31104314496239, 2.2876353830651603, 2.2128205457976495, 2.1717136681014866, 2.1779255820204675, 2.1874359959214438, 2.2481454991722316, 2.100407899921047, 2.05230319746968, 2.0053672585778566, 2.042365204676937, 2.041437090288202, 1.981376871547886, 1.9188165223325482, 2.0026522224836025, 1.9088208284086854, 1.8827939274006869, 1.7021077647723963, 1.7178607133898636, 1.8327387427685695, 1.937931851186305, 1.8741946947093617, 1.8863531294539815, 1.7045600403876184, 1.6165184277224567, 1.8175366179958685, 1.783158572445519, 1.7004401205410224, 1.799254688337819, 1.84548174567935, 1.6772215961759978, 1.668400423347365, 1.6720715675385203, 1.6793501425205426, 1.6700450871606949, 1.6714150533811347, 1.8541216592882295, 1.8906403257386635, 1.659812703517427, 1.6707051580643837, 1.5422472364574897, 1.5948521932962807, 1.5214783279560384, 1.5966450937961674, 1.5881600381243839, 1.645662742976664, 1.586264052593851, 1.436223369518309, 1.4533517325587466, 1.449214244356852, 1.4883106927445306, 1.519766573882545, 1.4666928470849732, 1.428539654160794, 1.4108572708221403, 1.6509150712544682, 1.4922000213303768, 1.5237719737066437, 1.4780517899093086, 1.405792041329287, 1.6668856142651425, 1.5405473681806607, 1.4856817472722044, 1.5100611244839177, 1.4836584585703576, 1.4015175127541095, 1.4028879663416447, 1.5744658373174387, 1.3583682448874383, 1.374289246720862, 1.460154414664438, 1.5314372618039795, 1.4081916437284248, 1.4386053147726776, 1.4218746877418609, 1.4890212159575398, 1.4847612048508427, 1.4350500516309084, 1.3865624241766519, 1.3610766088689557, 1.2995842826860422, 1.3057568195471976, 1.4930585983535325, 1.3597943959605343, 1.3063321071336678, 1.466042490015893, 1.3676023475476413, 1.4275135499960463, 1.2891600150838414, 1.2501276377893196, 1.3852364348091242, 1.2805426508805744, 1.3485598898245958, 1.32796192247189, 1.4324770298752947, 1.3583877034639715, 1.4346571253976228, 1.3417026955662792, 1.2266026777555534, 1.350457529237772, 1.2474203529638708, 1.285102299801526, 1.2924330866973819, 1.2536429519091723, 1.328019010591663, 1.3071060786785451, 1.264113167965035, 1.333543546619696, 1.3878098137376094, 1.4529891264997625, 1.3367266090771623, 1.3013203006924303, 1.3616748647185422, 1.375509075666072, 1.3121614641750652, 1.3576587740831574, 1.372223786985341, 1.4093299102822203, 1.3638816429068503, 1.2225366090805216, 1.2476440975879244, 1.2915163144810509, 1.2992758727515668, 1.2142559329582014, 1.327314678461757, 1.2532516901534672, 1.2885073578734694, 1.1995154925365095, 1.2125790700917676, 1.192160654418991, 1.3026068097177483, 1.2539476124384932, 1.3320022320279379, 1.2338028264149714, 1.2767426882471358, 1.2690967236246382, 1.1001904595769219, 1.0766625380308052, 1.0555788449528694, 1.0553343359750647, 1.0526598353292327, 1.048943832370421, 1.045182807819924, 1.0446572540370562, 1.0399858944418645, 1.0371952143984247]"
val_acc,mobilenetv1_large,0.001,0.0001,True,"*",0.7345612134344528,0.7230098146128681,"[0.020719738276990186, 0.03162486368593239, 0.0430752453653217, 0.05398037077426391, 0.05943293347873501, 0.07742639040348964, 0.09869138495092694, 0.10523446019629226, 0.10632497273718648, 0.12595419847328246, 0.13195201744820065, 0.1494002181025082, 0.14830970556161396, 0.1553980370774264, 0.13849509269356597, 0.18429661941112324, 0.1875681570338059, 0.1815703380588877, 0.1815703380588877, 0.21919302071973829, 0.2257360959651036, 0.2033805888767721, 0.22955288985823338, 0.2300981461286805, 0.22955288985823338, 0.27208287895310795, 0.26881134133042534, 0.26935659760087244, 0.2955288985823337, 0.2791712104689204, 0.3200654307524537, 0.3178844056706652, 0.33533260632497275, 0.33969465648854963, 0.3386041439476554, 0.3326063249727372, 0.366412213740458, 0.39422028353326066, 0.37404580152671757, 0.3854961832061069, 0.35114503816793896, 0.386041439476554, 0.4089422028353326, 0.4291166848418757, 0.40130861504907306, 0.42693565976008724, 0.44383860414394766, 0.44165757906215924, 0.44656488549618323, 0.4547437295528899, 0.4569247546346783, 0.5109051254089422, 0.4923664122137405, 0.4781897491821156, 0.46946564885496184, 0.4612868047982552, 0.4787350054525627, 0.5054525627044711, 0.5338058887677208, 0.4672846237731734, 0.4776444929116685, 0.5092693565976009, 0.5076335877862596, 0.5016357688113413, 0.5229007633587787, 0.5272628135223555, 0.5272628135223555, 0.5316248636859324, 0.5398037077426391, 0.5305343511450382, 0.4945474372955289, 0.4972737186477645, 0.5403489640130862, 0.54907306434024, 0.563794983642312, 0.5610687022900763, 0.5763358778625954, 0.5398037077426391, 0.5474372955288986, 0.5659760087241004, 0.5528898582333697, 0.5932388222464559, 0.5866957470010905, 0.5905125408942203, 0.5676117775354417, 0.5828789531079608, 0.5801526717557253, 0.5779716466739367, 0.5932388222464559, 0.5556161395856053, 0.5817884405670666, 0.5703380588876772, 0.5850599781897492, 0.6079607415485279, 0.5501635768811342, 0.5861504907306434, 0.583969465648855, 0.5866957470010905, 0.5965103598691385, 0.6155943293347874, 0.6090512540894221, 0.579062159214831, 0.6303162486368593, 0.6134133042529989, 0.6074154852780808, 0.6008724100327154, 0.6068702290076337, 0.6112322791712105, 0.6008724100327154, 0.6101417666303163, 0.6046892039258451, 0.6166848418756816, 0.6303162486368593, 0.6324972737186478, 0.6417666303162487, 0.6390403489640131, 0.6150490730643403, 0.6428571428571429, 0.64340239912759, 0.6172300981461287, 0.6254089422028354, 0.61886586695747, 0.6319520174482007, 0.6504907306434025, 0.6314067611777536, 0.6483097055616139, 0.6297709923664122, 0.6444929116684842, 0.6019629225736096, 0.633587786259542, 0.628680479825518, 0.6341330425299891, 0.6570338058887677, 0.6477644492911668, 0.6553980370774264, 0.6613958560523446, 0.6477644492911668, 0.6564885496183206, 0.6570338058887677, 0.6750272628135224, 0.6543075245365322, 0.6390403489640131, 0.6319520174482007, 0.6205016357688113, 0.6494002181025083, 0.6483097055616139, 0.6314067611777536, 0.628680479825518, 0.6657579062159216, 0.6466739367502726, 0.6526717557251909, 0.6368593238822247, 0.6483097055616139, 0.6821155943293348, 0.6690294438386042, 0.6788440567066522, 0.6592148309705562, 0.6717557251908397, 0.6439476553980371, 0.6739367502726281, 0.6553980370774264, 0.6663031624863687, 0.6750272628135224, 0.6706652126499455, 0.6673936750272629, 0.678298800436205, 0.6401308615049074, 0.663576881134133, 0.6597600872410033, 0.6761177753544166, 0.7039258451472192, 0.7110141766630317, 0.7104689203925846, 0.7121046892039259, 0.7142857142857143, 0.7181025081788441, 0.717557251908397, 0.7170119956379498, 0.7230098146128681, 0.7191930207197383]"
