,experiment_name,lr,weight_decay,use_scheduler,model,test_accuracy,best_val_accuracy,history
train_loss,mobilenetv1_small,0.001,0.0001,True,"*",0.7502708559046587,0.7393675027262814,"[3.6390025845728053, 3.5961983856306183, 3.5765268340621534, 3.512147126258898, 3.444114263456048, 3.3734702475878677, 3.2848053751150377, 3.2668418671136723, 3.1923000450581354, 3.13286809467691, 3.0905983824273746, 3.0187174307614457, 2.9455957111853546, 2.8871703852291946, 2.843608703168805, 2.8131327354215934, 2.7533131852465775, 2.7163243137155835, 2.6514390017233156, 2.5924285687617887, 2.5971741216258737, 2.4768709437208365, 2.418725939594975, 2.4116901288275563, 2.35051226076556, 2.374034478379128, 2.284791668288615, 2.2272435194401754, 2.2031573985441075, 2.1366206641156915, 2.1425755907060275, 2.0730394442421307, 2.0639142405275233, 1.9972003506977314, 1.970229960521127, 1.9247531102638733, 1.9112765557046612, 1.9099270207058607, 1.8453640213257028, 1.8003535971845583, 1.7817206722281875, 1.7362441110104103, 1.7304533006840164, 1.6964262419482543, 1.6738935788602458, 1.6315441234588104, 1.6072285088572653, 1.5804479714471853, 1.5202594220914447, 1.5579785250876639, 1.5684472059612218, 1.462712942303023, 1.4686255557363577, 1.4416737711114433, 1.3972454005413206, 1.3758091556502805, 1.4010398411952236, 1.3672067517316708, 1.3276006000897773, 1.3579188821490566, 1.3139860644981236, 1.2928029113908852, 1.332163897155903, 1.2576077386968367, 1.265015009639373, 1.2392311456516023, 1.2914570896851005, 1.254343848359718, 1.187445674419533, 1.2416644467096232, 1.2016549743011362, 1.1999422544742937, 1.166732259848099, 1.1908894868922448, 1.1512902028296161, 1.145019090737722, 1.1628608643180118, 1.140789684530629, 1.0705210223416277, 1.0857599240682794, 1.0960580226542613, 1.0410017449968223, 1.0586734145887868, 1.0931524136437483, 1.0300455529737225, 1.0413982293104793, 1.064052612815965, 1.0353960364317822, 0.972730420564364, 0.9967509315461611, 1.005367618550654, 1.0225682969182999, 0.995191281970563, 1.0012333472699748, 1.0069526737735068, 0.9983090194118351, 1.0123127539042849, 0.9777202794323763, 0.9666605990600378, 0.9776300405019894, 0.9730997296112635, 0.9884127278554079, 0.9303561865259952, 0.9467815770281535, 0.923818913832384, 0.9739011633652828, 0.9541658896878747, 0.96947522214077, 0.8976855921011004, 0.9049716881654282, 0.9297479337487957, 0.8771555405541641, 0.9319342595415175, 0.9287744634448426, 0.8875404289126818, 0.9144954749789931, 0.8797355535797802, 0.8964245455341074, 0.8526596851620502, 0.8564810480919415, 0.8382598802743799, 0.8867872188415538, 0.8529186551594936, 0.8602712421139114, 0.8676610944315926, 0.8475973195424031, 0.8523578307517512, 0.8431913112385392, 0.8559784470412867, 0.848099285687436, 0.8735825879010429, 0.8241807451589974, 0.8177549771763513, 0.8315144748705939, 0.8443811377441893, 0.867428576176223, 0.7839634532205868, 0.7910333911805297, 0.8288544772690861, 0.8193398041502921, 0.8110504356545692, 0.8197835045700406, 0.7942294590835124, 0.7856274619190854, 0.7684069066126946, 0.7536014780649927, 0.8196495496372204, 0.7923964982332993, 0.7490780073474168, 0.7529021601288349, 0.779893518566403, 0.756614727036899, 0.7524725792842718, 0.7779921569269274, 0.7803310002836163, 0.7490237362542702, 0.7773417825268673, 0.7628780750430355, 0.769888454544086, 0.7180921505211679, 0.7470560221036535, 0.7368955381334429, 0.7439184232543099, 0.7430486918697893, 0.7522884007369702, 0.7539577038355048, 0.7707882831225963, 0.7566947824430582, 0.7392434687047799, 0.7611600908053022, 0.7118002537421682, 0.6532669441353628, 0.6389894275582106, 0.6256306067121292, 0.6119618509568906, 0.6475383702043163, 0.6472810771621907, 0.6358171515501823, 0.6137401696348359, 0.6007309475104924]"
train_acc,mobilenetv1_small,0.001,0.0001,True,"*",0.7502708559046587,0.7393675027262814,"[0.027800490596892886, 0.04388116653038975, 0.041428182065958025, 0.058871627146361405, 0.07168165712728264, 0.0861270100844917, 0.11365494685200328, 0.11310983919324066, 0.13791223766693922, 0.1529026982829109, 0.16380485145816298, 0.17715998909784683, 0.193513218860725, 0.2033251567184519, 0.20714091032979015, 0.22649223221586265, 0.23957481602616518, 0.23902970836740256, 0.2540201689833742, 0.2804578904333606, 0.27309893704006544, 0.291632597437994, 0.30934859634777867, 0.3221586263286999, 0.3376941946034342, 0.3376941946034342, 0.34314527119106025, 0.3712183156173344, 0.3791223766693922, 0.40228945216680295, 0.3894794221858817, 0.41155628236576725, 0.4164622512946307, 0.4352684655219406, 0.4418097574270919, 0.452711910602344, 0.44944126464976836, 0.4535295720904879, 0.47015535568274736, 0.48787135459253206, 0.4960479694739711, 0.5023167075497411, 0.5132188607249932, 0.5254837830471518, 0.5181248296538566, 0.541019351321886, 0.5363859362224039, 0.5491959662033252, 0.5655491959662033, 0.5546470427909512, 0.5532842736440448, 0.5821749795584629, 0.575088579994549, 0.5870809484873263, 0.5955301171981466, 0.6037067320795857, 0.5955301171981466, 0.6176069773780322, 0.6156991005723631, 0.61297356227855, 0.6249659307713273, 0.6334150994821477, 0.6203325156718452, 0.6429544835104933, 0.6336876533115291, 0.6511310983919324, 0.6355955301171982, 0.652493867538839, 0.6636685745434724, 0.6415917143635869, 0.6571272826383211, 0.6571272826383211, 0.6663941128372853, 0.6601253747615154, 0.6745707277187245, 0.6721177432542927, 0.6693922049604797, 0.6862905423821205, 0.6947397110929409, 0.6944671572635596, 0.6892886345053149, 0.7040065412919052, 0.7127282638321069, 0.6920141727991278, 0.7105478331970564, 0.7015535568274734, 0.6920141727991278, 0.6977378032161352, 0.7206323248841646, 0.7154538021259199, 0.7222676478604525, 0.7110929408558191, 0.7260834014717907, 0.7192695557372581, 0.7116380485145817, 0.7225402016898338, 0.7151812482965386, 0.7189970019078769, 0.7162714636140638, 0.7290814935949851, 0.7255382938130281, 0.7184518942491143, 0.744344508040338, 0.7369855546470429, 0.7388934314527119, 0.723630417007359, 0.7301717089125103, 0.7217225402016899, 0.7391659852820932, 0.7429817388934314, 0.7386208776233306, 0.7536113382393023, 0.7331698010357046, 0.7397110929408558, 0.7487053693104389, 0.7421640774052876, 0.7484328154810576, 0.747887707822295, 0.7634232760970292, 0.7587898609975471, 0.759607522485691, 0.743526846552194, 0.762333060779504, 0.7557917688743527, 0.7481602616516763, 0.7587898609975471, 0.7492504769692014, 0.7585173071681658, 0.7448896156991006, 0.762333060779504, 0.7555192150449714, 0.7699645680021805, 0.7631507222676479, 0.7683292450258926, 0.7601526301444536, 0.7552466612155901, 0.7724175524666121, 0.7745979831016626, 0.7645134914145544, 0.7707822294903244, 0.7726901062959934, 0.7645134914145544, 0.777596075224857, 0.777596075224857, 0.7808667211774326, 0.7936767511583538, 0.765058599073317, 0.7751430907604252, 0.7844099209593896, 0.7939493049877351, 0.7767784137367131, 0.7765058599073317, 0.7890433360588717, 0.7762333060779504, 0.7748705369310439, 0.7841373671300083, 0.7792313982011447, 0.7849550286181521, 0.7825020441537204, 0.794766966475879, 0.7800490596892886, 0.794766966475879, 0.789315889888253, 0.7923139820114473, 0.7871354592532025, 0.7833197056418643, 0.7743254292722813, 0.7909512128645407, 0.791223766693922, 0.7852275824475334, 0.8002180430635051, 0.8187517034614337, 0.8201144726083401, 0.8206595802671027, 0.8263832106841101, 0.8244753338784411, 0.8203870264377214, 0.8242027800490597, 0.8258381030253475, 0.8318342872717363]"
val_loss,mobilenetv1_small,0.001,0.0001,True,"*",0.7502708559046587,0.7393675027262814,"[3.618968451166101, 3.5834001579617465, 3.5099381331919064, 3.4753103370624903, 3.402355928327421, 3.243569317144812, 3.246596889121452, 3.164408759696403, 3.055834303505418, 3.063685934312211, 2.914296072727981, 2.9411066722453874, 2.9833612124818494, 2.9099588568364, 2.85776681468427, 3.0032560950147156, 2.726418318119278, 2.6831289737799175, 2.5582843245440765, 2.5757039297888036, 2.6034355974769383, 2.503704457142621, 2.390416806110769, 2.5297997312431377, 3.007495404329789, 2.5812510479497544, 2.283692844951426, 2.071478162623024, 2.1973422261334816, 2.641400864106098, 2.097190704054505, 1.9920500306292734, 1.9181110843317328, 1.9687961541449361, 1.9838961200339713, 1.9860773505145357, 2.0517065470455256, 1.9567141431498554, 1.9088011636858808, 1.8066380328154485, 1.7483724483096872, 1.7291362374013486, 1.7379890820712274, 1.6057527849822424, 1.6572153128870442, 1.717917221583093, 1.6128454290273535, 1.66807477080315, 1.7086283675716905, 1.6569209386114205, 1.798434413246396, 1.5196468905508194, 1.552460019825069, 1.549507311282267, 1.4792595432264855, 1.6781823848300048, 1.4309139519507388, 1.4023550972423742, 1.4324010141933237, 1.477867215514313, 1.5320204992980708, 1.4929309757091227, 1.501284939642171, 1.6177479266600365, 1.3413466759180426, 1.413361626466982, 1.3951290578072568, 1.4517615542157005, 1.4514581230240533, 1.389068234187826, 1.6163532943865986, 1.5443614625098792, 1.4457120150490181, 1.4631987165988727, 1.330495131769773, 1.327933527326116, 1.468164175586326, 1.3107136559460388, 1.3883754436816358, 1.4666905230888234, 1.3265382044317937, 1.287715053155352, 1.3260594392875809, 1.3170105902358256, 1.3023985253165566, 1.2876247710984041, 1.2846226747449379, 1.206083476608426, 1.3141197289869335, 1.4009700926465583, 1.380735292494492, 1.3979062160462823, 1.209532667532352, 1.2597591607885246, 1.2683543750087984, 1.419449135352377, 1.2854108990473732, 1.2643370205534454, 1.2738351071153888, 1.2709953187596188, 1.3585136892881362, 1.2170821952195827, 1.207598233105962, 1.2477626806387074, 1.2954929586065245, 1.31080555161837, 1.2965285450447606, 1.2791738632981104, 1.2517671965330741, 1.1569094059251517, 1.3389359729825605, 1.2254376846935393, 1.2818064048415052, 1.3269255643582527, 1.1775878003210383, 1.2667021112457617, 1.2047956404535174, 1.1915025172862779, 1.1529390758945481, 1.1846561776707711, 1.1970412778620372, 1.3772029163013237, 1.2964400515171537, 1.1914187086707504, 1.1206948133825345, 1.2053765315915923, 1.3108789107011736, 1.118821875154647, 1.2072656661629546, 1.2628161871446257, 1.1771525676273857, 1.281085719719058, 1.1546933682170273, 1.2611183076609442, 1.1839647220291254, 1.209707074557942, 1.2062578679041098, 1.1499606913672669, 1.1910214401058439, 1.153232141305472, 1.1878389044052382, 1.194079136965449, 1.1551609771202278, 1.1632660871763656, 1.1879158434717059, 1.1572043083226278, 1.1598395943121667, 1.2250287477881723, 1.2618118387402208, 1.2044388432799145, 1.1441324594366642, 1.1517630894155513, 1.1838071623181308, 1.1393041623717697, 1.1212921613500317, 1.17603627377014, 1.1822620036492821, 1.1316372156793184, 1.1916131833517434, 1.195125237741023, 1.129303139275917, 1.2602866201975353, 1.263524403813881, 1.1440547646847, 1.1426013587540342, 1.119562843633712, 1.2160805955187965, 1.1997485096153022, 1.207700567651081, 1.1992637102320514, 1.0383581881174735, 1.0206052564092656, 1.0111371932008923, 1.0116662321329897, 1.000645830138559, 1.0052676048767606, 0.9956218911621276, 0.9898548810016627, 0.9875166486692792, 0.9760295981409246]"
val_acc,mobilenetv1_small,0.001,0.0001,True,"",0.7502708559046587,0.7393675027262814,"[0.02726281352235551, 0.04798255179934569, 0.06324972737186478, 0.06597600872410032, 0.0910577971646674, 0.1183206106870229, 0.12540894220283533, 0.14776444929116686, 0.14503816793893132, 0.15703380588876772, 0.18102508178844057, 0.19193020719738277, 0.18538713195201745, 0.19956379498364232, 0.20283533260632497, 0.17720828789531082, 0.21592148309705564, 0.24809160305343514, 0.2808069792802617, 0.27699018538713194, 0.2748091603053435, 0.3162486368593239, 0.30752453653217016, 0.2797164667393675, 0.23118865866957472, 0.28844056706652127, 0.33533260632497275, 0.3675027262813523, 0.3598691384950927, 0.3009814612868048, 0.390948745910578, 0.4236641221374046, 0.4285714285714286, 0.41984732824427484, 0.4329334787350055, 0.4143947655398037, 0.4127589967284624, 0.4318429661941113, 0.4498364231188659, 0.4716466739367503, 0.4787350054525627, 0.4765539803707743, 0.4972737186477645, 0.5201744820065431, 0.4956379498364231, 0.4945474372955289, 0.5130861504907307, 0.5070883315158125, 0.5141766630316249, 0.5261723009814613, 0.48473282442748095, 0.5610687022900763, 0.539258451472192, 0.5501635768811342, 0.5703380588876772, 0.5163576881134133, 0.5708833151581243, 0.5899672846237732, 0.5779716466739367, 0.5643402399127591, 0.5545256270447111, 0.5921483097055616, 0.5501635768811342, 0.5474372955288986, 0.6035986913849509, 0.5997818974918212, 0.5905125408942203, 0.5736095965103599, 0.5801526717557253, 0.5997818974918212, 0.5648854961832062, 0.5643402399127591, 0.6052344601962922, 0.5877862595419847, 0.6074154852780808, 0.6134133042529989, 0.6014176663031625, 0.6172300981461287, 0.6079607415485279, 0.6183206106870229, 0.6275899672846238, 0.6341330425299891, 0.6259541984732825, 0.6281352235550709, 0.6221374045801527, 0.6292257360959651, 0.6439476553980371, 0.6395856052344602, 0.6319520174482007, 0.6166848418756816, 0.6155943293347874, 0.6346782988004362, 0.658124318429662, 0.6368593238822247, 0.6570338058887677, 0.6243184296619412, 0.6488549618320612, 0.6466739367502726, 0.6450381679389313, 0.6390403489640131, 0.6319520174482007, 0.6613958560523446, 0.6461286804798255, 0.6619411123227917, 0.6510359869138496, 0.6395856052344602, 0.6428571428571429, 0.6455834242093784, 0.6521264994547438, 0.6690294438386042, 0.6406761177753545, 0.6739367502726281, 0.6564885496183206, 0.6466739367502726, 0.6613958560523446, 0.6537622682660851, 0.6586695747001091, 0.6788440567066522, 0.6848418756815704, 0.66793893129771, 0.6744820065430753, 0.6401308615049074, 0.6472191930207197, 0.6744820065430753, 0.6902944383860414, 0.6613958560523446, 0.6444929116684842, 0.688113413304253, 0.678298800436205, 0.6712104689203926, 0.6799345692475464, 0.6755725190839695, 0.6935659760087242, 0.6772082878953108, 0.6799345692475464, 0.663576881134133, 0.66793893129771, 0.6875681570338059, 0.6695747001090513, 0.6968375136314068, 0.673391494002181, 0.6646673936750273, 0.6913849509269356, 0.6739367502726281, 0.6848418756815704, 0.6913849509269356, 0.6712104689203926, 0.6728462377317339, 0.66793893129771, 0.6902944383860414, 0.6848418756815704, 0.6826608505997819, 0.6804798255179935, 0.707742639040349, 0.6957470010905126, 0.6946564885496184, 0.6799345692475464, 0.688113413304253, 0.6701199563794984, 0.6853871319520175, 0.688113413304253, 0.66793893129771, 0.6821155943293348, 0.6913849509269356, 0.7011995637949837, 0.6995637949836423, 0.6821155943293348, 0.6837513631406762, 0.6892039258451472, 0.6946564885496184, 0.7230098146128681, 0.7246455834242094, 0.7295528898582334, 0.7257360959651036, 0.7262813522355508, 0.7279171210468921, 0.7311886586695747, 0.7339149400218102, 0.7355507088331517, 0.7393675027262814]"
